, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Inventory Turnover Rate (times),-0.0626603482994135,-0.05449639794638376,-0.05360525771363103,0.04766486324976184,0.047078783059733134,0.009575737534713606,0.005560410760613957,0.005957117403308668,-0.012144711373296709,0.006203240894788163,-0.12921438059523663,0.001365922166411328,-0.020141098748180573,0.0077127090034718885,-0.05076934650476268,-0.08068404324185847,-0.08024790650441989,-0.08005411818290926,-0.0714603299577615,-0.03735678671556313,-0.011734435087003491,-0.04679006494096731,-0.07363320946391498,-0.007853294563399827,0.002095337411091946,-0.013039515366165579,-0.013363144511807052,-0.012953619098265244,0.030277144720911725,-0.009008735441579513,0.013148232456932878,-0.02150831229205141,-0.007942780779324109,-0.019058287541925824,-0.011133383091968154,-0.013441049582555918,-0.04362888940840287,0.043628889408399735,-0.04027208486092344,0.010202666823883388,-0.014864246965049026,-0.047084283404671905,-0.07381530272726355,0.002018525813579298,-0.15229829546931625,-0.013200579851168454,0.007906339236781064,1.0,0.026388054708543805,-0.11535304354985891,0.00019335573375329096,-0.0649564770833144,-0.025241505821196844,0.06836948307458521,-0.09669641548659469,0.023021145535713182,-0.01260296749343224,-0.011180104598013468,-0.021335223374633557,-0.05934794128371632,-0.014231245013591725,0.00072428082894068,-0.05198705741198017,-0.014909726770973896,0.016940388281171826,-0.01845644258229436,0.009396807829822662,-0.048771907131065974,-0.011171566958901038,0.06495923031399634,-0.1772990544859822,-0.014566994258293844,-0.004527935390011799,0.01786187375395781,-0.00016544486583776737,-0.007657885466376407,-0.014909726770973896,-0.01845644258229436,0.016432405507748823,-0.015477214913403784,-0.0008053967504512018,-0.033694577586187525,-0.016848292156716214,-0.054892176890254794,-0.011810674274622861,-0.052667943464572,0.00917193503452573,-0.010280140840397203,0.047665980649277934,-0.026296142731263836,-0.008359261200751802,0.0011894118083146897,-0.011490747815313848,,0.00672585184107832
 Fixed Assets Turnover Frequency,-0.06591879307481846,-0.13696442726929653,-0.06104594859967089,0.0012388135550501194,0.001288610404217089,0.0052316153239358966,0.0035813440128449467,0.004241490390023439,-0.005540429092964097,0.00343928360634358,-0.05515956040404882,0.016872344151809163,0.05297767627669822,-0.03621277098031154,-0.1352096356607037,-0.0809710554285499,-0.08177304366451006,-0.08174915981176609,-0.12945681303636958,0.013248032087231004,-0.01046199809090873,-0.1193663350741635,-0.13387766415351599,-0.005696535277773526,-0.007908241450847125,-0.005390378087175648,-0.004696529781735552,-0.0037285788218158066,0.009155172058592065,0.03600381597594368,-0.011273802951312011,0.015145540032471979,-0.004930567098487286,0.0017973645636252264,0.025935760459143066,0.016062114639678358,-0.010257931817476878,0.010257931817473271,-0.0486314921689462,0.02523236646479662,-0.006061481090589299,-0.11853101714567962,-0.13409644077023603,-0.12401925086606289,-0.2994308263032388,-0.0017087821550519717,-0.013745551218326445,0.026388054708543805,1.0,-0.18370967487972725,-0.006699901851808092,-0.08144052562193738,-0.015561033439494191,-0.27093609469534835,-0.3226581129242112,-0.38611450082804366,-0.11739875958904315,-0.0076967034887743336,0.01797591210908085,-0.15752162082676902,0.02404925691241854,0.00549308305993266,0.01119676429735559,-0.285401387451287,-0.09715027776883241,-0.043548335806912614,-0.02620859750810835,-0.10023268627075356,-0.006678988648015248,-0.11778607614504152,-0.0421028580036778,-0.04395739676451993,-0.0009661097016388169,-0.03982826009854764,0.0016441839445823416,-0.004930566063630762,-0.285401387451287,-0.043548335806912614,0.053103829682193765,-0.05216901576443731,-0.025605244151451368,0.020639235899853527,-0.026668548120140904,0.1425891051149956,0.004788693787265075,-0.12250459155128104,-0.013476554386202273,-0.007191850932610554,0.0012397825058748358,-0.013604250561173589,-0.015134421406905388,0.01856460074167668,0.0005367567267885979,,0.044537642784498004
 Net Worth Turnover Rate (times),0.022896457306813035,0.03692476961911501,0.012762560034072746,-0.13615677044727179,-0.13633511936883577,0.016064161110012402,0.015513478406899999,0.01573576660950939,-0.007916045603803575,0.01455920516563417,0.16513480047562482,-0.025440400206946122,-0.09666252500287073,0.046758566565274995,0.11526994999345476,-0.032829255916711604,-0.03243986795224575,-0.03245497990870173,0.06603252846850065,0.0896484054391344,-0.02082553746133901,0.14243530220531228,0.08992949133099483,0.06169070558999384,0.03299968220712718,0.035120694074958006,0.03522390803371637,-0.001916300016256237,-0.08499383251278424,0.06320278542798415,0.027419268993052453,0.10364727171030318,-0.009228903650485842,-0.02001811535723684,0.006705732349734167,-0.01840688597415855,0.4361604990403833,-0.4361604990403784,0.02383860862025914,0.17733725246329635,0.092726095637394,0.14256125964140176,0.07837330922592257,0.453423808384915,0.7574139480175852,-0.03207130626992201,0.005157117734096163,-0.11535304354985891,-0.18370967487972725,1.0,-0.013763154947588221,0.011006969385705445,0.023204766541387672,-0.016690546143560928,0.2997910546270132,0.35848006210988964,-0.011919963961591276,0.10553135091333754,-0.01729331199895709,0.49936951818420605,-0.09099863711948789,-0.017728019005558034,-0.008378293104443995,0.19403101282376511,0.10581967041214926,0.26781639379149713,0.014773747975825738,0.001481267605701579,-0.01097563280590404,0.11482204029390315,0.271283846543415,0.20955939009744456,-0.004805141479144962,0.04166320359455576,0.004045403225178248,-0.008856103623961638,0.19403101282376511,0.26781639379149713,0.22324009955158813,0.044739090576376,0.0010480410454999428,-0.05783236320307282,0.08408345540728991,0.126417428406011,0.17257754728326136,0.01377559986164183,0.059177665555774826,-0.01916892756740728,-0.13615822943189407,-0.03469897312462879,0.2735532875237196,-0.009233188180874456,0.017436616332806753,,-0.22645590038197047
 Revenue per person,-0.01483405756101761,-0.014887643297673222,-0.014545036703510246,0.01902162550828861,0.019060265386470477,-0.027450322666788582,-0.14495602978669908,-0.1466708475223718,-0.22503158841784524,-0.0646927341687555,-0.010492421609130205,-0.012780079900646396,-0.009017841373030737,-0.002586287448465609,-0.014119446401959468,-0.017798823125525807,-0.01774035672218839,-0.017756776470135648,-0.011411964413468543,-0.008270704791148874,0.27574191418120936,-0.009898789026072611,-0.014147794232100514,-0.0005392475490182898,-0.0008528406957781124,-0.1297658455611052,-0.12890530083940102,-0.007249171546782459,-0.017423269931028447,-0.0002335772864650111,-0.003492555962179684,-0.003601014898849152,-0.0002061727887282172,-0.0005828439034678398,-0.0031754481823993972,-0.0004464717212208562,0.037411693718688015,-0.03741169371868768,-0.002325515782931438,0.029948994628311805,-0.0008414970628743007,-0.009861340075468277,-0.013189249045676362,0.005264655804982527,-0.02383569786428611,0.03239827379492408,-0.0006525740336506012,0.00019335573375329096,-0.006699901851808092,-0.013763154947588221,1.0,-0.0078448292322021,-0.0006506881291981792,-0.03033243218225713,-0.029715417424288706,-0.02524756884586159,-0.014161786621147227,-0.0003564239410329186,-0.0012396481005034464,0.006308645307638609,-0.006773747510186602,-0.0011090019254762354,0.08659489259265597,-0.027657439629037696,-0.01961952113381889,0.013609736073718792,-0.0016169241233918508,-0.016047438035508746,-0.0009694984860372439,-0.012086181959059018,-0.007216765083322844,-0.010915136718803063,-0.039606485515933786,-0.014321621548019949,-0.019828700887423972,-0.00020617271517373912,-0.027657439629037696,0.013609736073718792,0.031913873664667844,-0.004928825798507136,-0.0019218874643284376,-0.009930020923076445,-0.0046605245884905125,0.027678420647837702,-0.0005834442772518086,-0.014309227092614639,-0.0008425265483663045,0.033597940536658044,0.019021217456509178,-0.006549314711825902,0.022624366113805396,-0.0010836923369828904,-0.0026666339205038813,,-0.011294620275224833
 Operating profit per person,0.301996203601751,0.32494223018564844,0.3045215760363997,0.2249758407801444,0.22445789625197282,0.01824841962928155,0.020271340298580895,0.018334072380295684,-0.0036580385920908774,0.018579970147421996,0.12686895226500544,-0.04350914877628379,0.13130434558884346,-0.0045883255763738955,0.06782639373993675,0.26133039232249666,0.261380645206608,0.26147706979931756,0.3515893176369876,0.06219169386205972,-0.0259729114017302,0.3670236675429692,0.3257825176229068,0.00196194536895432,0.015479580803336574,0.04626011398473625,0.04610089067704111,0.005900016660982528,0.0037772777239074105,-0.01249733200907269,0.02243711502776383,-0.01482624393719069,0.03883924073280154,0.07442288204230821,0.008880526807195598,-0.025393303833574247,0.007547220022713998,-0.007547220022715154,0.17872026369526095,-0.009384918613550676,-0.02413301948685992,0.3662149716032217,0.33366025480433015,0.11805854418801476,0.06132970056320202,-0.020482733187108006,0.08837908053277813,-0.0649564770833144,-0.08144052562193738,0.011006969385705445,-0.0078448292322021,1.0,0.0003720515076280188,0.15970602921642701,0.0005070211724598888,0.21707064973713233,0.04886293668333476,0.03470432246252601,0.06196440971291871,0.07883169901561539,0.11807260324868747,-0.013442696793446628,0.0058565111872907255,0.12511822619057633,0.08656371066443218,0.010680396105806334,0.0170672008870985,0.23358177200312494,0.1247692653849533,-0.14684611664949684,-0.006811745949180179,0.047513631494979044,-0.006489336270395189,0.011303911280216676,0.0007622625879425847,-0.004646326004605057,0.12511822619057633,0.010680396105806334,-0.05160326766887658,0.07527103889079051,0.05362688394641392,0.09102252553837291,0.01855195708410184,-0.050780247065063344,-0.03024088763204245,0.30635640496862093,-0.017803539993539612,-0.009823279043390623,0.22497950151692386,0.09623493575122354,-0.011414545395145574,-0.006094066183555754,0.0032198582753962634,,-0.03026098008357728
 Allocation rate per person,-0.012542715071475068,-0.006034682120616421,-0.012770470232118771,-0.006952505768961094,-0.007262087527448701,0.0007260154132975212,0.0006853152213141815,0.0007018613184832363,-0.00038962882009485486,0.0006518892402932545,-0.009231095852821676,-0.028073024140393248,-0.0015543994166239523,0.024253519418441456,0.005541754328777783,-0.009322191749370446,-0.009267579209741144,-0.00931049104611414,-0.009402529267179941,-0.010748990220898952,-0.0009822053941059509,-0.008020387783399714,-0.008783383565229464,-0.0010016565196237556,0.00034768937395250366,0.0005477113279377042,0.0005352004983901098,-0.0001993003419615301,-0.010749970767119317,-0.0005244255444465055,-0.0015714977355444795,-0.005392777370874871,-0.0004628972145365233,-0.0013085957808149323,-0.002949512203072179,-0.00100241416462288,0.010320911043946111,-0.010320911043945726,0.3429249993049146,-0.0046405844291623225,0.005205885134260009,-0.008026532302548971,-0.008584202728368065,0.01459225346590566,0.03508418572012565,-0.0017569318543799823,-0.0005389637368114152,-0.025241505821196844,-0.015561033439494191,0.023204766541387672,-0.0006506881291981792,0.0003720515076280188,1.0,0.013102339266613885,0.035254057593035605,0.03220666681598414,0.0015493811792803675,-0.0008002397308149957,0.0043142480714306345,0.025641716455789117,-0.0003998021020025294,-0.0005246146106870534,-0.0036649716091154364,0.02319926700599716,0.008667999893428828,0.006436376361687912,0.0017539899396418186,0.0015380393220062437,-0.0008043870177590638,0.010871871511267542,0.01395695718401347,0.015920685396725913,-2.9668532968072553e-06,0.01257887932913812,0.00016927686740864174,0.14265304401723158,0.02319926700599716,0.006436376361687912,-0.008977636193251839,-0.0028072797959124924,8.352731974058416e-05,-0.008625493784511858,-0.0008775069431110565,-0.0071212195094987295,-0.0013099436680275541,-0.0021534188277845642,-0.0018916327590414296,-0.0007017639485001637,-0.006951604001287468,0.0006793288175572319,0.002285930878952331,-0.001858771049139369,-0.0009571018024117191,,8.128903752284083e-05
 Working Capital to Total Assets,0.25967961643542053,0.30353176193441694,0.2601508643007189,0.24630436553881632,0.24622072513777377,0.025598864274573585,0.036347045771623815,0.0404047060491495,0.010800449606229695,0.035148388485653895,-0.07672405264952746,0.01188102137892672,0.16152019741982185,0.04514116109256965,0.05610341827646297,0.19861997552978575,0.1995982535839285,0.19947461584512916,0.25318805352937235,0.07399133916359374,0.020298161549319894,0.26617670125801984,0.23843485298669595,0.012096401110673017,0.024150235962900782,0.031928152921782464,0.0317643344477403,0.004795030818736485,-0.0258944067242579,-0.04467211008073246,0.026426894307664425,0.056922493110386205,-0.02011563421146337,-0.009233442546046843,-0.014455426380629414,0.051384100781914084,-0.5287969894967377,0.5287969894967407,0.07789078372629389,-0.19255421892503466,-0.06587897775191906,0.2646165345375766,0.24582108004884484,-0.002127773152865242,0.21115607875480527,-0.04097090925512829,-0.027485699836030775,0.06836948307458521,-0.27093609469534835,-0.016690546143560928,-0.03033243218225713,0.15970602921642701,0.013102339266613885,1.0,0.6484640384662581,0.7148680223607997,0.5857700655650865,-0.033668876509868544,-0.056212848089366815,-0.36445344308347793,0.21093792144059023,-0.012443046838326645,-0.0453420580679117,0.25150190052979454,0.33655510994464716,-0.16158029662222909,0.004956960546735327,0.21718855376358215,-0.013296887640368802,0.10873754244385467,-0.18452734401765142,-0.20868211598299458,0.04479206272480751,-0.1409984649909411,0.036275600978212356,0.0014063809701203667,0.25150190052979454,-0.16158029662222909,-0.13929364607542413,0.2339576636074789,0.17626460831811563,0.1316765761741189,0.10112168294133243,-0.6255600985396375,-0.14908496336286842,0.297217189866447,-0.008452074404041856,0.03820881281568593,0.24630797457717676,0.10976564020405044,-0.17764512796057247,-0.036716294934369426,-0.008911690182177065,,0.3691486135140807
 Quick Assets/Total Assets,0.18199302918474913,0.20201698796954254,0.1663110848541781,0.1528504279337783,0.152804805431868,0.02610044697404186,0.03081871619488765,0.031452565085371524,-0.001556775965362765,0.02854669688387198,-0.004686275101891619,0.06481139696927679,0.031134678157306743,0.02524644411425422,0.11915518129424874,0.115516333393255,0.11560592683119025,0.11530950148976683,0.21509722531267378,0.09814276306259591,-0.014144746814997436,0.2666368365452608,0.21926718765779749,0.015756359583081244,0.012453535197560395,0.02847801989800452,0.028958645276506767,-0.00335054387056121,-0.06839318020234846,-0.0191931741323937,0.02478733712959743,0.07188215033545331,-0.023991600128091897,-0.06306431621709924,-0.016618900283480433,-0.002856169369354458,-0.08423213596371999,0.08423213596372911,0.04082097818988984,-0.09556779922538165,-0.015814019394571763,0.26609044660811665,0.22263862769918208,0.10020143456303585,0.4689556747926938,0.009706088717333344,-0.05159233444633137,-0.09669641548659469,-0.3226581129242112,0.2997910546270132,-0.029715417424288706,0.0005070211724598888,0.035254057593035605,0.6484640384662581,1.0,0.7554531616801069,0.5908906019500008,-0.03913275861722968,-0.07453682612337337,0.15237836645505853,0.09832235377987163,-0.032204312011886095,0.036223123612118976,0.4629726032607865,0.22293195761050366,0.02462945583652113,0.03204263856205604,0.09429678976867237,-0.02330545033309464,0.2428339191705772,-0.08236964649739804,-0.21728067972772291,0.011016205386823392,-0.10671154478588082,0.014315755470089652,-0.02173140696600693,0.4629726032607865,0.02462945583652113,-0.11515034102104633,0.2549294001855238,0.1614556772844465,0.08485325767049177,0.14866672233184772,-0.3395498873353475,-0.0006633380040860163,0.1760863350978717,0.028237598766975586,0.028875705534325252,0.15285006847437135,0.0480106252557637,-0.024486380826509693,-0.030418737899210253,-0.0008863798562732784,,0.09597813033165373
 Current Assets/Total Assets,0.09882048428089506,0.1570048395338552,0.09408304360053622,0.09478198640020107,0.0948375766742466,0.033820533529007164,0.03715586586307269,0.03783550622989146,-0.007613175830227889,0.03486463159536632,0.025720001996264293,-0.022853084587889497,-0.04924645393318172,0.01354367644767348,0.08438560019141425,0.04725420108495292,0.04781568283834127,0.047967897555519924,0.17693073714768845,-0.037778355705846506,0.0002705317527875917,0.26050054480306717,0.17578360204086135,0.028146430024610362,0.018826493736374048,0.015090088235504971,0.014820336187629086,-0.007937133161020135,-0.07764660380005632,-0.02568373794002678,0.03887188037377698,-0.04755843439013987,-0.029001608669883144,0.027030521272815133,-0.009593767514622834,0.016897790679190266,0.10996423035563432,-0.10996423035563052,0.1045176269390597,-0.01777013352911003,-0.028116785315021733,0.2594105187561326,0.1784094920342624,0.33754695884247116,0.49740527914049565,-0.006895585596608545,-0.011503356877816005,0.023021145535713182,-0.38611450082804366,0.35848006210988964,-0.02524756884586159,0.21707064973713233,0.03220666681598414,0.7148680223607997,0.7554531616801069,1.0,0.41642509829234975,0.008243427653173813,0.0032091696759645573,0.3906293539214938,0.0029941834605441515,-0.011063630955573937,-0.02839650950460077,0.5656399689639406,0.2891621410191588,0.10533088112177558,0.02954422349753852,0.0656049519825048,-0.029451032600870394,0.19439889232938493,-0.11114205764084378,-0.08432966730257407,0.017572309698261884,-0.04449077422554414,0.017334321565583722,0.025904157320447,0.5656399689639406,0.10533088112177558,-0.10365169929620902,0.2029071000792993,0.13396787328647242,-0.059644963528460555,0.12034346370315299,-0.35419763312146724,-0.008918063516460838,0.13305308551485032,0.03376000278650564,-0.0025204819304421606,0.0947846999857881,0.03888004791083977,0.03944914068035441,-0.03104884096733094,0.007280631324873224,,-0.01531091222500528
 Cash/Total Assets,0.23531442696988597,0.21791786048776662,0.2271444294032957,0.24194649753751202,0.2423533303495767,0.010465062793106616,0.01713626732245768,0.017117861778996244,0.009001839336827579,0.016444608879337474,-0.11060501645388233,0.01352392647443329,0.2280272697069621,0.014468302109793576,-0.011757585786356068,0.18562081604651973,0.1856310154751441,0.1852999602087137,0.24095572556389827,0.2536100368128773,0.018125059496626433,0.23688825545634112,0.22292548886083277,-0.005604875159812488,0.00804836858127773,0.0208187928339646,0.02003945958498481,-0.0016194925693529924,-0.0640788312236203,-0.010481382269889568,0.013890511750346522,0.16765148041306052,-0.010622304442393832,-0.029790269414449042,-0.017431123940869698,0.019682899067594243,-0.35760540905900134,0.3576054090590058,0.05284491262132317,-0.12641883280751268,-0.01924504240407134,0.2357668189093624,0.22836485952027602,-0.13567446332520774,0.10806421434695682,-0.017054046006669602,-0.0171048935201579,-0.01260296749343224,-0.11739875958904315,-0.011919963961591276,-0.014161786621147227,0.04886293668333476,0.0015493811792803675,0.5857700655650865,0.5908906019500008,0.41642509829234975,1.0,-0.01607202208859488,-0.06390836568789017,-0.21657976875927887,0.3004630499126925,-0.01909070394037507,0.026710245590567207,0.24361547395027736,0.1442091724488406,-0.07991016526127512,-0.002666367113468345,0.09648727852211363,-0.006558261369399042,0.1849439939852823,-0.1253170128503859,-0.23416047572990067,0.01482237570270453,-0.2875594427724182,0.013979407415802994,-0.01071595003039163,0.24361547395027736,-0.07991016526127512,-0.09523022101373414,0.4801743512885432,0.35326956151990535,0.2818317905382732,0.2773033874539927,-0.28669111997390034,-0.012223801390497896,0.19565215407263165,0.019727394978057915,0.026421009009705964,0.24194467518555704,0.04507467229300095,-0.0978489771298149,-0.024288936952500204,-0.007205435883064779,,0.2997323355227783
 Quick Assets/Current Liability,-0.010529616929026504,-0.009612263581940655,-0.010013719719753433,-0.0032058337375007358,-0.003186211827877435,0.00036486230367829023,0.00029565979751253326,0.00034261061034999085,-0.0002938265118031681,0.0003001673692436878,-0.012903958182215894,-0.01571740259171883,-0.008363689098467172,0.055142565280692814,-0.009853950393631395,-0.014826923494883546,-0.014772689271150176,-0.01479427661485737,-0.006743561465642251,-0.013813777906171469,-0.000538017365179977,-0.007191503415992558,-0.006873151904265198,-0.0004938757369097006,0.00014477412365940874,0.0004685121733115047,0.00046072338151333065,-8.139917590538269e-05,-0.002528282291101419,0.07591472295682926,0.00035768249666432914,-0.02841520120211095,-0.0002535587231401218,-0.0007168024826671761,0.0018583168160552453,-0.0005490869808131666,0.03945479735714319,-0.039454797357143724,-0.001739568177724831,-0.06792960684409964,-0.0009416515976346643,-0.007146865926452711,-0.007288333636627958,0.01524891124423392,-0.01838950522974326,-0.0009623851177322802,-0.0008025590952978256,-0.011180104598013468,-0.0076967034887743336,0.10553135091333754,-0.0003564239410329186,0.03470432246252601,-0.0008002397308149957,-0.033668876509868544,-0.03913275861722968,0.008243427653173813,-0.01607202208859488,1.0,-0.0015245639314079937,0.055301761431395646,-0.009208345215183957,0.0016239799164783086,-0.0020075417793738864,0.024001156020104907,0.1283802023034169,-0.0773151723761834,0.004567495610921782,-0.015316192839869956,-0.00027381268158226064,-0.012821899260502949,-0.0036905172893049827,-0.0012837620225258735,-0.0003098674341836701,0.0015032309406184043,0.00010903375387597246,-0.00025355870542373833,0.024001156020104907,-0.0773151723761834,-0.005046740190308178,-0.0010198624623493126,-0.0013933816428293062,-0.0185243226879556,-0.006788462498698892,0.20288283442023017,0.18750973731199178,-0.00815427546264948,-0.0010361694943733495,-0.03953755800536756,-0.0032051384211783827,0.021418722082376097,-0.06105140984726744,-0.0008763614842149873,0.0002089667296454489,,-0.012449494350122619
 Cash/Current Liability,-0.046008944308738524,-0.037467568701556375,-0.04129644230936159,-0.03090058403324336,-0.03104524046848027,0.00030067682540547297,-0.0014037909523318091,-0.0008273715269625662,-0.0035602197527299585,-0.001111850772333474,0.02425782525521516,-0.04213272665503328,-0.023394333693866842,-0.011062557825023989,-0.03526520216547261,-0.0330778003278913,-0.03275618073375923,-0.031013342188055376,-0.03440441652718974,-0.02260762145356456,-0.001871232946905759,-0.02396625578087651,-0.03486156124170812,-0.0017987722059044163,-0.002418772414544678,-0.005474507994390215,-0.005428108856390323,-0.0011461069258127251,0.006807518580616682,-0.000999100939681564,-0.00248006827421722,-0.016929231517848278,-0.0008818812449368464,0.15198717143276536,0.010632665141418404,-0.0019097332976164157,0.0828043490051006,-0.08280434900510199,0.013863817965305702,0.041093759018291307,0.011086866895821619,-0.023862227231545206,-0.03531358555092895,0.05040022495784532,-0.04797560343094003,0.03691244871582503,0.018409045209495715,-0.021335223374633557,0.01797591210908085,-0.01729331199895709,-0.0012396481005034464,0.06196440971291871,0.0043142480714306345,-0.056212848089366815,-0.07453682612337337,0.0032091696759645573,-0.06390836568789017,-0.0015245639314079937,1.0,0.07827578093557472,-0.024504961922540446,0.0024229433830505673,-0.006982262056612321,0.008926241242443577,-0.015198955519480977,0.03277636074583445,-0.001828318524834276,-0.025724016286924146,-0.0016254963333232017,-0.033006590813118936,-0.0028856163681206604,0.02652946338728524,-7.023784931307577e-05,-0.044146671956985815,-9.159442224049592e-06,0.048718012636004025,0.008926241242443577,0.03277636074583445,0.012987549482610713,-0.020220359365751655,-0.008704410490164573,-0.02989285369291032,-0.014240640545206356,0.044378277713185026,-0.002495618229736356,-0.03438889840755644,-0.00360381388962499,-0.006207663575399473,-0.030899633842670412,-0.008187978762115584,0.029935103869614312,0.0016357413809007814,0.0034220754435016847,,-0.03800428565467016
 Current Liability to Assets,-0.21025644141724867,-0.19050050813359223,-0.21718579186312584,-0.19802660995561544,-0.19784246960529028,0.011339750604136105,0.0016319312374847338,-0.002804727672643343,-0.024357036417563777,0.00015862214130482518,0.13525624161897407,-0.04607494326104029,-0.27821787471250586,-0.041390138532996494,0.03852047221354521,-0.19854591464254792,-0.1990860403961547,-0.19872056785078243,-0.09768912969154246,-0.1477171473335934,-0.026361473245398476,-0.0034961357528058693,-0.07979477900151372,0.02155887420556335,-0.006721131937531383,-0.02193632651805613,-0.02207990150859343,-0.016882556252583794,-0.06931497776949387,0.02460542093163035,0.01697668858136172,-0.1382710500995144,-0.012140726196286738,0.048152706940638924,0.006253746375796192,-0.04514196844878132,0.842583028070925,-0.8425830280709207,0.03664857983745158,0.22982526597229458,0.04928329346252416,-0.0028938519430179535,-0.08602149742199271,0.4523210404532174,0.38442848030114785,0.044753595149151455,0.02086455010283616,-0.05934794128371632,-0.15752162082676902,0.49936951818420605,0.006308645307638609,0.07883169901561539,0.025641716455789117,-0.36445344308347793,0.15237836645505853,0.3906293539214938,-0.21657976875927887,0.055301761431395646,0.07827578093557472,1.0,-0.2737042119367917,0.0016470715625970449,0.02187471437969654,0.4221846409610596,-0.057977217958845424,0.3529860575526501,0.03281914983435233,-0.1985525683018682,-0.021715852546116608,0.11573718852269954,0.09491241761427442,0.16241798908027907,-0.03556553024417418,0.12636954328198674,-0.0246708714955914,0.03264578180016877,0.4221846409610596,0.3529860575526501,0.04533909957072586,-0.037779676409170626,-0.05363712273010017,-0.2527778585532818,0.02714166764912401,0.35183171867445395,0.18438819447186203,-0.2140847801816805,0.056085888384183116,-0.0536570193798465,-0.19802774736424253,-0.09272468102231188,0.2863983918019422,0.00698705216836549,0.021427699437660944,,-0.5063598530450174
 Operating Funds to Liability,0.38815115250966586,0.351107139325787,0.387892720434049,0.24683418511029362,0.24678135371762597,0.02030827853949485,0.022855036885404783,0.02087674712305431,-0.0034759293712603623,0.024520481133598886,-0.042396021864516215,0.03552105073174681,0.8805618326815656,0.015720047256485594,0.051844403844927445,0.19596471868790333,0.19590295859342147,0.1956212777833399,0.24824095666554657,0.4151223337526557,0.12745877093332234,0.24570060928587942,0.22247393962621834,-0.023342560440652832,0.003664450617018644,0.01592661309023888,0.015184994127205495,0.0034029101682898316,0.06413219757881351,-0.006966703838785541,-0.0033540967305660764,0.41268322327530343,0.0035471774492467213,-0.013925731520843351,-0.0016801543897821622,0.2658432631240234,-0.33342917894984936,0.333429178949849,0.02611691116457262,-0.09324769968357789,-0.011000471161640216,0.2452983653556854,0.23319228211697599,-0.13077813649440304,-0.030659915050084044,-0.005031581639418068,0.011150412926669757,-0.014231245013591725,0.02404925691241854,-0.09099863711948789,-0.006773747510186602,0.11807260324868747,-0.0003998021020025294,0.21093792144059023,0.09832235377987163,0.0029941834605441515,0.3004630499126925,-0.009208345215183957,-0.024504961922540446,-0.2737042119367917,1.0,-0.008492218693113495,0.028831127843420803,0.06260209213320105,0.033619062097817155,-0.09168291663804137,0.04235535678292798,0.2644033668078829,0.03607675541323381,-0.07230806120530142,-0.02253154751237383,-0.07777683909438038,0.03067235247658847,-0.10175751909801979,0.013311824856441928,-0.00836921717955087,0.06260209213320105,-0.09168291663804137,-0.05835236911990422,0.27359772421676176,0.38208846503099436,0.7029373866803394,0.11970742395214626,-0.1397180479989394,-0.016716060195634295,0.3411876353593913,-0.06603667006574951,0.01030290123358382,0.24683288932387107,0.06921158069496616,-0.09121354775808493,-0.00896109038825043,-0.0012681102226468329,,0.3987686836732389
